unit	layer	module	package	files	state	commit	paths
L1-api-api-spi-03	1	aether-weaver-api	de.splatgames.aether.weaver.api.spi	9	done	1713690	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/SelectorResolver.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/Site.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/StatisticsView.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/TargetView.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/WeavePolicy.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/WeaveSource.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/WeaveTarget.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/WeaverApi.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/WeaverPlugin.java
L2-engine-engine+3	2	aether-weaver-engine	de.splatgames.aether.weaver.engine; de.splatgames.aether.weaver.engine.dump; de.splatgames.aether.weaver.engine.explain; de.splatgames.aether.weaver.engine.extension	12	done	54b6946	aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/Weaver.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/WeaverBuilder.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/dump/ClassDump.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/dump/Disassembly.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/dump/TextDiff.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/explain/ExplainReport.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/explain/Resolution.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/explain/SiteObserver.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/extension/ExtensionCalls.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/extension/ExtensionGuards.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/extension/ExtensionIndex.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/extension/ExtensionStubs.java
L2-engine-engine-inject-01	2	aether-weaver-engine	de.splatgames.aether.weaver.engine.inject	7	done	4fc1972	aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/inject/Assignability.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/inject/CallbackEmission.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/inject/CorePlugin.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/inject/DelegationChains.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/inject/InjectInjector.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/inject/LocalCaptures.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/inject/LocalRefs.java
L2-engine-engine-inject-02	2	aether-weaver-engine	de.splatgames.aether.weaver.engine.inject	7	done	12043ec	aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/inject/MatchAccounting.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/inject/ProtectedRanges.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/inject/RedirectInjector.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/inject/RedirectShapes.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/inject/RedirectedOperation.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/inject/WeavingPipeline.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/inject/WrapInjector.java
L2-engine-engine-merge+1	2	aether-weaver-engine	de.splatgames.aether.weaver.engine.merge; de.splatgames.aether.weaver.engine.model	9	done	4c70a49	aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/merge/GeneratedMembers.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/merge/MemberBindings.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/merge/MergedBodyTransform.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/merge/StructuralWeaver.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/merge/TargetMembers.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/merge/WeaveBytes.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/model/TargetRef.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/model/WeaveClass.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/model/WeaveMember.java
L2-engine-engine-observe+1	2	aether-weaver-engine	de.splatgames.aether.weaver.engine.observe; de.splatgames.aether.weaver.engine.parse	7	done	0c892a3	aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/observe/ClassWovenEvent.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/observe/JfrWeaveEvents.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/observe/Statistics.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/observe/WeaveEvents.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/parse/Annotations.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/parse/PointTargets.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/parse/WeaveClassParser.java
L2-engine-engine-plan+1	2	aether-weaver-engine	de.splatgames.aether.weaver.engine.plan; de.splatgames.aether.weaver.engine.plugin	12	done	f6490e6	aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/plan/ConflictDetector.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/plan/OrderKey.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/plan/PlanEntry.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/plan/PlanFingerprint.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/plan/WeavePlan.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/plan/WeavePlanner.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/plugin/DefaultPluginContext.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/plugin/NamespacedRegistry.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/plugin/PluginFilter.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/plugin/PluginIsolation.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/plugin/PluginLoader.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/plugin/PluginRegistry.java
L2-engine-engine-policy+3	2	aether-weaver-engine	de.splatgames.aether.weaver.engine.policy; de.splatgames.aether.weaver.engine.select; de.splatgames.aether.weaver.engine.stamp; de.splatgames.aether.weaver.engine.text	10	done	4a09825	aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/policy/DefaultWeavePolicy.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/select/CandidateListing.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/select/DefaultSelectorResolver.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/select/MemberRef.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/select/ResolutionContext.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/stamp/Provenance.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/stamp/WeaveAttributeWriter.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/stamp/WeaveRecord.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/stamp/WovenAnnotationWriter.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/text/ConsoleText.java
L2-engine-engine-verify	2	aether-weaver-engine	de.splatgames.aether.weaver.engine.verify	3	done	74429dc	aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/verify/StructuralCheck.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/verify/VerificationPolicy.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/verify/Verifier.java
L2-engine-inject-point+1	2	aether-weaver-engine	de.splatgames.aether.weaver.engine.inject.point; de.splatgames.aether.weaver.engine.internal.transform	11	done	a864b5a	aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/inject/point/BuiltInPoints.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/inject/point/ModelViews.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/inject/point/PointResolver.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/inject/point/SiteSafety.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/inject/point/Targets.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/internal/transform/ClassRemapper.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/internal/transform/CodeRelabeler.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/internal/transform/FrameSupport.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/internal/transform/LocalTable.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/internal/transform/LocalsShifter.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/internal/transform/WeaveAttribute.java
