unit	layer	module	package	files	state	commit	paths
L5-ide-main-idea-generate+1	5	aether-weaver-ide/aether-weaver-idea	de.splatgames.aether.weaver.idea.generate; de.splatgames.aether.weaver.idea.index	10	done	87c7719	aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/generate/AddHandlerAction.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/generate/AddHandlerDialog.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/generate/AddHandlerHandler.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/generate/CaptureLocalIntention.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/generate/HandlerInsertion.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/generate/HandlerOptions.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/generate/WeaveHereDialog.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/generate/WeaveHereIntention.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/index/ExtensionReceiverIndex.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/index/WeaveTargetIndex.java
L5-ide-main-idea-inspection-01	5	aether-weaver-ide/aether-weaver-idea	de.splatgames.aether.weaver.idea.inspection	8	done	f7114cc	aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/inspection/AdjustHandlerParametersFix.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/inspection/ApplySelectorSuggestionFix.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/inspection/ChangeSelectorNameFix.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/inspection/ConvertShadowToAccessorFix.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/inspection/ExtensionDeclarationInspection.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/inspection/HandlerSignatureInspection.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/inspection/MakeContributedMethodStaticFix.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/inspection/MakeExtensionFinalFix.java
L5-ide-main-idea-inspection-02	5	aether-weaver-ide/aether-weaver-idea	de.splatgames.aether.weaver.idea.inspection	8	done	72e6af6	aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/inspection/MakeHandlerReachableFix.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/inspection/MakeHandlerStaticFix.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/inspection/MarkReceiverParameterFix.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/inspection/MoveReceiverParameterFirstFix.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/inspection/PointTargetInspection.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/inspection/SelectorInspection.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/inspection/WeaveDeclarationInspection.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/inspection/WeaveMemberInspection.java
L5-ide-main-idea-intention+1	5	aether-weaver-ide/aether-weaver-idea	de.splatgames.aether.weaver.idea.intention; de.splatgames.aether.weaver.idea.library	12	done	afc9203	aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/intention/AddShadowIntention.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/intention/ConvertPointTargetToDescriptorFormIntention.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/intention/ConvertPointTargetToSourceFormIntention.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/intention/ConvertSelectorToSourceFormIntention.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/intention/CreateExtensionMethodIntention.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/intention/CreateWeaveIntention.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/intention/PointTargetLiterals.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/intention/QualifySelectorIntention.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/intention/SelectorLiterals.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/library/LibraryExtensions.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/library/LibraryManifests.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/library/LibraryWeaves.java
L5-ide-main-idea-marker	5	aether-weaver-ide/aether-weaver-idea	de.splatgames.aether.weaver.idea.marker	3	done	00304af	aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/marker/ExtensionLineMarkerProvider.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/marker/HandlerLineMarkerProvider.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/marker/WeaveLineMarkerProvider.java
L5-ide-main-idea-preview	5	aether-weaver-ide/aether-weaver-idea	de.splatgames.aether.weaver.idea.preview	10	done	7b11d8d	aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/preview/InjectionSiteHintPass.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/preview/InjectionSiteHintRenderer.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/preview/InjectionSiteHints.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/preview/ToggleInjectedCodeAction.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/preview/WeaveBlock.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/preview/WeaveBlockRenderer.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/preview/WeaveBlocks.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/preview/WeaveCollapsedBlocks.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/preview/WeaveInlayPass.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/preview/WeaveInlaySettings.java
L5-ide-main-idea-psi	5	aether-weaver-ide/aether-weaver-idea	de.splatgames.aether.weaver.idea.psi	9	done	ad9ca62	aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/psi/CaretAnchors.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/psi/ExtensionDeclarations.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/psi/HandlerOrder.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/psi/HandlerSignature.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/psi/PointDeclarations.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/psi/SelectorTargets.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/psi/SourceSpots.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/psi/TargetMembers.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/psi/WeaveDeclarations.java
L5-ide-main-idea-selector+2	5	aether-weaver-ide/aether-weaver-idea	de.splatgames.aether.weaver.idea.selector; de.splatgames.aether.weaver.idea.toolwindow; de.splatgames.aether.weaver.idea.usage	10	done	c7bfc36	aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/selector/PointTargetCompletionContributor.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/selector/PointTargetReference.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/selector/SelectorCompletionContributor.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/selector/SelectorReference.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/selector/SelectorReferenceContributor.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/toolwindow/ExtensionsModel.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/toolwindow/WeavesModel.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/toolwindow/WeavesToolWindowFactory.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/usage/ExtensionImplicitUsageProvider.java;aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/usage/WeaveImplicitUsageProvider.java
L5-ide-sample-acme-payments-01	5	aether-weaver-ide/aether-weaver-idea	com.acme.payments	9	done	7334170	aether-weaver-ide/aether-weaver-idea/sample/src/main/java/com/acme/payments/Amounts.java;aether-weaver-ide/aether-weaver-idea/sample/src/main/java/com/acme/payments/AuditWeave.java;aether-weaver-ide/aether-weaver-idea/sample/src/main/java/com/acme/payments/DescriptorWeave.java;aether-weaver-ide/aether-weaver-idea/sample/src/main/java/com/acme/payments/Gateway.java;aether-weaver-ide/aether-weaver-idea/sample/src/main/java/com/acme/payments/GeneratedShapes.java;aether-weaver-ide/aether-weaver-idea/sample/src/main/java/com/acme/payments/Ledger.java;aether-weaver-ide/aether-weaver-idea/sample/src/main/java/com/acme/payments/LedgerWeave.java;aether-weaver-ide/aether-weaver-idea/sample/src/main/java/com/acme/payments/NotAWeave.java;aether-weaver-ide/aether-weaver-idea/sample/src/main/java/com/acme/payments/PriorityWeave.java
L5-ide-sample-acme-payments-02	5	aether-weaver-ide/aether-weaver-idea	com.acme.payments	9	done	b78d5e2	aether-weaver-ide/aether-weaver-idea/sample/src/main/java/com/acme/payments/Receipt.java;aether-weaver-ide/aether-weaver-idea/sample/src/main/java/com/acme/payments/ReceiptAccess.java;aether-weaver-ide/aether-weaver-idea/sample/src/main/java/com/acme/payments/Reported.java;aether-weaver-ide/aether-weaver-idea/sample/src/main/java/com/acme/payments/ReportedExtensions.java;aether-weaver-ide/aether-weaver-idea/sample/src/main/java/com/acme/payments/Router.java;aether-weaver-ide/aether-weaver-idea/sample/src/main/java/com/acme/payments/RouterWeave.java;aether-weaver-ide/aether-weaver-idea/sample/src/main/java/com/acme/payments/Silent.java;aether-weaver-ide/aether-weaver-idea/sample/src/main/java/com/acme/payments/SilentWeave.java;aether-weaver-ide/aether-weaver-idea/sample/src/main/java/com/acme/payments/TargetsByName.java
L6-package-info-agent	6	aether-weaver-agent	(all)	1	done	4135519	aether-weaver-agent/src/main/java/de/splatgames/aether/weaver/agent/package-info.java
L6-package-info-api	6	aether-weaver-api	(all)	8	done	dcbf8ce	aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/callback/package-info.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/diagnostic/package-info.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/experimental/package-info.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/manifest/package-info.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/model/package-info.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/package-info.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/select/package-info.java;aether-weaver-api/src/main/java/de/splatgames/aether/weaver/api/spi/package-info.java
L6-package-info-engine	6	aether-weaver-engine	(all)	14	done	e2406dc	aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/dump/package-info.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/explain/package-info.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/extension/package-info.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/inject/package-info.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/inject/point/package-info.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/internal/transform/package-info.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/merge/package-info.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/model/package-info.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/observe/package-info.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/plan/package-info.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/plugin/package-info.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/select/package-info.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/stamp/package-info.java;aether-weaver-engine/src/main/java/de/splatgames/aether/weaver/engine/text/package-info.java
L6-package-info-ide	6	aether-weaver-ide	(all)	1	done	5e6703b	aether-weaver-ide/aether-weaver-idea/src/main/java/de/splatgames/aether/weaver/idea/preview/package-info.java
L6-package-info-processor	6	aether-weaver-processor	(all)	1	done	2649e86	aether-weaver-processor/src/main/java/de/splatgames/aether/weaver/processor/package-info.java
L6-package-info-runtime	6	aether-weaver-runtime	(all)	2	done	46ea1e4	aether-weaver-runtime/src/main/java/de/splatgames/aether/weaver/runtime/config/package-info.java;aether-weaver-runtime/src/main/java/de/splatgames/aether/weaver/runtime/package-info.java
L6-package-info-testkit	6	aether-weaver-testkit	(all)	1	done	5a28e27	aether-weaver-testkit/src/main/java/de/splatgames/aether/weaver/testkit/package-info.java
